Node_U,Node_V,Layer,weight
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_2,36.198621525186
176.0,174.0,Layer_4,36.198621525186
36.0,11.0,Layer_1,534.1895884433702
36.0,11.0,Layer_2,534.1895884433702
36.0,11.0,Layer_4,534.1895884433702
36.0,2.0,Layer_1,442.8824361678942
36.0,2.0,Layer_2,442.8824361678942
36.0,2.0,Layer_4,442.8824361678942
11.0,2.0,Layer_1,171.6259427696743
11.0,2.0,Layer_2,171.6259427696743
11.0,2.0,Layer_4,171.6259427696743
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_2,36.198621525186
176.0,174.0,Layer_5,36.198621525186
75.0,39.0,Layer_1,126.50267548497374
75.0,39.0,Layer_2,126.50267548497374
75.0,39.0,Layer_5,126.50267548497374
19.0,28.0,Layer_1,168.04876301316236
19.0,28.0,Layer_2,168.04876301316236
19.0,28.0,Layer_5,168.04876301316236
36.0,11.0,Layer_1,226.73717980603982
36.0,11.0,Layer_2,226.73717980603982
36.0,11.0,Layer_5,226.73717980603982
36.0,2.0,Layer_1,442.8824361678942
36.0,2.0,Layer_2,442.8824361678942
36.0,2.0,Layer_5,442.8824361678942
33.0,11.0,Layer_1,210.1050411405287
33.0,11.0,Layer_2,210.1050411405287
33.0,11.0,Layer_5,210.1050411405287
39.0,20.0,Layer_1,155.9385397496602
39.0,20.0,Layer_2,155.9385397496602
39.0,20.0,Layer_5,155.9385397496602
39.0,62.0,Layer_1,138.357779418208
39.0,62.0,Layer_2,138.357779418208
39.0,62.0,Layer_5,138.357779418208
20.0,62.0,Layer_1,173.68793327117106
20.0,62.0,Layer_2,173.68793327117106
20.0,62.0,Layer_5,173.68793327117106
11.0,2.0,Layer_1,105.88263124814121
11.0,2.0,Layer_2,105.88263124814121
11.0,2.0,Layer_5,105.88263124814121
11.0,28.0,Layer_1,98.989998667482
11.0,28.0,Layer_2,98.989998667482
11.0,28.0,Layer_5,98.989998667482
6.0,62.0,Layer_1,106.4026051599337
6.0,62.0,Layer_2,106.4026051599337
6.0,62.0,Layer_5,106.4026051599337
6.0,37.0,Layer_1,150.474392071036
6.0,37.0,Layer_2,150.474392071036
6.0,37.0,Layer_5,150.474392071036
62.0,37.0,Layer_1,214.86955548785528
62.0,37.0,Layer_2,214.86955548785528
62.0,37.0,Layer_5,214.86955548785528
141.0,133.0,Layer_1,10.308869545100533
141.0,133.0,Layer_2,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
17.0,28.0,Layer_1,92.37118520210598
17.0,28.0,Layer_2,92.37118520210598
17.0,28.0,Layer_5,92.37118520210598
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_2,36.198621525186
176.0,174.0,Layer_3,36.198621525186
36.0,11.0,Layer_1,534.1895884433702
36.0,11.0,Layer_2,534.1895884433702
36.0,11.0,Layer_3,534.1895884433702
36.0,2.0,Layer_1,442.8824361678942
36.0,2.0,Layer_2,442.8824361678942
36.0,2.0,Layer_3,442.8824361678942
11.0,2.0,Layer_1,171.6259427696743
11.0,2.0,Layer_2,171.6259427696743
11.0,2.0,Layer_3,171.6259427696743
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_4,36.198621525186
176.0,174.0,Layer_5,36.198621525186
75.0,39.0,Layer_1,126.50267548497374
75.0,39.0,Layer_4,126.50267548497374
75.0,39.0,Layer_5,126.50267548497374
19.0,28.0,Layer_1,168.04876301316236
19.0,28.0,Layer_4,168.04876301316236
19.0,28.0,Layer_5,168.04876301316236
36.0,11.0,Layer_1,226.73717980603982
36.0,11.0,Layer_4,226.73717980603982
36.0,11.0,Layer_5,226.73717980603982
36.0,2.0,Layer_1,442.8824361678942
36.0,2.0,Layer_4,442.8824361678942
36.0,2.0,Layer_5,442.8824361678942
33.0,11.0,Layer_1,210.1050411405287
33.0,11.0,Layer_4,210.1050411405287
33.0,11.0,Layer_5,210.1050411405287
39.0,20.0,Layer_1,155.9385397496602
39.0,20.0,Layer_4,155.9385397496602
39.0,20.0,Layer_5,155.9385397496602
39.0,62.0,Layer_1,138.357779418208
39.0,62.0,Layer_4,138.357779418208
39.0,62.0,Layer_5,138.357779418208
20.0,62.0,Layer_1,173.68793327117106
20.0,62.0,Layer_4,173.68793327117106
20.0,62.0,Layer_5,173.68793327117106
11.0,2.0,Layer_1,105.88263124814121
11.0,2.0,Layer_4,105.88263124814121
11.0,2.0,Layer_5,105.88263124814121
11.0,28.0,Layer_1,98.989998667482
11.0,28.0,Layer_4,98.989998667482
11.0,28.0,Layer_5,98.989998667482
6.0,62.0,Layer_1,106.4026051599337
6.0,62.0,Layer_4,106.4026051599337
6.0,62.0,Layer_5,106.4026051599337
6.0,37.0,Layer_1,150.474392071036
6.0,37.0,Layer_4,150.474392071036
6.0,37.0,Layer_5,150.474392071036
62.0,37.0,Layer_1,214.86955548785528
62.0,37.0,Layer_4,214.86955548785528
62.0,37.0,Layer_5,214.86955548785528
141.0,133.0,Layer_1,10.308869545100533
141.0,133.0,Layer_4,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
17.0,28.0,Layer_1,92.37118520210598
17.0,28.0,Layer_4,92.37118520210598
17.0,28.0,Layer_5,92.37118520210598
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_4,36.198621525186
176.0,174.0,Layer_3,36.198621525186
36.0,11.0,Layer_1,534.1895884433702
36.0,11.0,Layer_4,534.1895884433702
36.0,11.0,Layer_3,534.1895884433702
36.0,2.0,Layer_1,442.8824361678942
36.0,2.0,Layer_4,442.8824361678942
36.0,2.0,Layer_3,442.8824361678942
11.0,2.0,Layer_1,171.6259427696743
11.0,2.0,Layer_4,171.6259427696743
11.0,2.0,Layer_3,171.6259427696743
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_5,36.198621525186
176.0,174.0,Layer_3,36.198621525186
75.0,39.0,Layer_1,126.50267548497374
75.0,39.0,Layer_5,126.50267548497374
75.0,39.0,Layer_3,126.50267548497374
19.0,28.0,Layer_1,168.04876301316236
19.0,28.0,Layer_5,168.04876301316236
19.0,28.0,Layer_3,168.04876301316236
36.0,11.0,Layer_1,226.73717980603982
36.0,11.0,Layer_5,226.73717980603982
36.0,11.0,Layer_3,226.73717980603982
36.0,2.0,Layer_1,442.8824361678942
36.0,2.0,Layer_5,442.8824361678942
36.0,2.0,Layer_3,442.8824361678942
33.0,11.0,Layer_1,210.1050411405287
33.0,11.0,Layer_5,210.1050411405287
33.0,11.0,Layer_3,210.1050411405287
39.0,20.0,Layer_1,155.9385397496602
39.0,20.0,Layer_5,155.9385397496602
39.0,20.0,Layer_3,155.9385397496602
39.0,62.0,Layer_1,138.357779418208
39.0,62.0,Layer_5,138.357779418208
39.0,62.0,Layer_3,138.357779418208
20.0,62.0,Layer_1,173.68793327117106
20.0,62.0,Layer_5,173.68793327117106
20.0,62.0,Layer_3,173.68793327117106
11.0,2.0,Layer_1,105.88263124814121
11.0,2.0,Layer_5,105.88263124814121
11.0,2.0,Layer_3,105.88263124814121
11.0,28.0,Layer_1,98.989998667482
11.0,28.0,Layer_5,98.989998667482
11.0,28.0,Layer_3,98.989998667482
6.0,62.0,Layer_1,106.4026051599337
6.0,62.0,Layer_5,106.4026051599337
6.0,62.0,Layer_3,106.4026051599337
6.0,37.0,Layer_1,150.474392071036
6.0,37.0,Layer_5,150.474392071036
6.0,37.0,Layer_3,150.474392071036
62.0,37.0,Layer_1,214.86955548785528
62.0,37.0,Layer_5,214.86955548785528
62.0,37.0,Layer_3,214.86955548785528
141.0,133.0,Layer_1,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
141.0,133.0,Layer_3,10.308869545100533
17.0,28.0,Layer_1,92.37118520210598
17.0,28.0,Layer_5,92.37118520210598
17.0,28.0,Layer_3,92.37118520210598
75.0,39.0,Layer_2,126.50267548497374
75.0,39.0,Layer_4,126.50267548497374
75.0,39.0,Layer_5,126.50267548497374
19.0,28.0,Layer_2,168.04876301316236
19.0,28.0,Layer_4,168.04876301316236
19.0,28.0,Layer_5,168.04876301316236
33.0,11.0,Layer_2,351.6630494544804
33.0,11.0,Layer_4,351.6630494544804
33.0,11.0,Layer_5,351.6630494544804
39.0,20.0,Layer_2,155.9385397496602
39.0,20.0,Layer_4,155.9385397496602
39.0,20.0,Layer_5,155.9385397496602
39.0,62.0,Layer_2,138.357779418208
39.0,62.0,Layer_4,138.357779418208
39.0,62.0,Layer_5,138.357779418208
20.0,62.0,Layer_2,173.68793327117106
20.0,62.0,Layer_4,173.68793327117106
20.0,62.0,Layer_5,173.68793327117106
11.0,28.0,Layer_2,141.99024220619614
11.0,28.0,Layer_4,141.99024220619614
11.0,28.0,Layer_5,141.99024220619614
62.0,37.0,Layer_2,214.86955548785528
62.0,37.0,Layer_4,214.86955548785528
62.0,37.0,Layer_5,214.86955548785528
141.0,133.0,Layer_2,10.308869545100533
141.0,133.0,Layer_4,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
17.0,28.0,Layer_2,92.37118520210598
17.0,28.0,Layer_4,92.37118520210598
17.0,28.0,Layer_5,92.37118520210598
75.0,39.0,Layer_2,126.50267548497374
75.0,39.0,Layer_5,126.50267548497374
75.0,39.0,Layer_3,126.50267548497374
19.0,28.0,Layer_2,168.04876301316236
19.0,28.0,Layer_5,168.04876301316236
19.0,28.0,Layer_3,168.04876301316236
33.0,11.0,Layer_2,351.6630494544804
33.0,11.0,Layer_5,351.6630494544804
33.0,11.0,Layer_3,351.6630494544804
39.0,20.0,Layer_2,155.9385397496602
39.0,20.0,Layer_5,155.9385397496602
39.0,20.0,Layer_3,155.9385397496602
39.0,62.0,Layer_2,138.357779418208
39.0,62.0,Layer_5,138.357779418208
39.0,62.0,Layer_3,138.357779418208
20.0,62.0,Layer_2,173.68793327117106
20.0,62.0,Layer_5,173.68793327117106
20.0,62.0,Layer_3,173.68793327117106
11.0,28.0,Layer_2,141.99024220619614
11.0,28.0,Layer_5,141.99024220619614
11.0,28.0,Layer_3,141.99024220619614
62.0,37.0,Layer_2,214.86955548785528
62.0,37.0,Layer_5,214.86955548785528
62.0,37.0,Layer_3,214.86955548785528
141.0,133.0,Layer_2,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
141.0,133.0,Layer_3,10.308869545100533
17.0,28.0,Layer_2,92.37118520210598
17.0,28.0,Layer_5,92.37118520210598
17.0,28.0,Layer_3,92.37118520210598
75.0,39.0,Layer_4,126.50267548497374
75.0,39.0,Layer_5,126.50267548497374
75.0,39.0,Layer_3,126.50267548497374
19.0,28.0,Layer_4,168.04876301316236
19.0,28.0,Layer_5,168.04876301316236
19.0,28.0,Layer_3,168.04876301316236
33.0,11.0,Layer_4,351.6630494544804
33.0,11.0,Layer_5,351.6630494544804
33.0,11.0,Layer_3,351.6630494544804
39.0,20.0,Layer_4,155.9385397496602
39.0,20.0,Layer_5,155.9385397496602
39.0,20.0,Layer_3,155.9385397496602
39.0,62.0,Layer_4,138.357779418208
39.0,62.0,Layer_5,138.357779418208
39.0,62.0,Layer_3,138.357779418208
20.0,62.0,Layer_4,173.68793327117106
20.0,62.0,Layer_5,173.68793327117106
20.0,62.0,Layer_3,173.68793327117106
11.0,28.0,Layer_4,141.99024220619614
11.0,28.0,Layer_5,141.99024220619614
11.0,28.0,Layer_3,141.99024220619614
62.0,37.0,Layer_4,214.86955548785528
62.0,37.0,Layer_5,214.86955548785528
62.0,37.0,Layer_3,214.86955548785528
141.0,133.0,Layer_4,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
141.0,133.0,Layer_3,10.308869545100533
17.0,28.0,Layer_4,92.37118520210598
17.0,28.0,Layer_5,92.37118520210598
17.0,28.0,Layer_3,92.37118520210598
